"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","STIC-BTESLAR1-MOMSF","Packaging Material","1.0","Pc(s)"
"","","CONT-ESLB3MOASA-2PSC","Packaging Material","1.0","Pc(s)"
"","","ES-SGPL2GRNFS-MO","Semi Finished Goods","1.0","Pc(s)"
"","","KUAS-ESMO2KSNBR-THG","Packaging Material","1.0","Pc(s)"
"","","KB-MOTWC3252-K150M12","Packaging Material","0.02778","Pc(s)"
"","","STIC-VTESLSR0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-TESR2-MO","Packaging Material","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","Packaging Material","1.0","Pc(s)"
"HBW-ETBWBN2-W","1'","HBW-ETBWB-BULK","Semi Finished Goods","0.45","kg"
"","","PU-LED28BR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-FMSBW450R0-ELL","Packaging Material","1.0","Pc(s)"
"","","STIC-BMSBW450R0-ELL","Packaging Material","1.0","Pc(s)"
"","","BOTO-PETE450-ELL","Packaging Material","1.0","Pc(s)"
"","","KB-WBETAR1-W","Packaging Material","0.0769231","Pc(s)"
"MY-RTCRE04-W","7 (INLINE)","TC-PC04-BULK","Semi Finished Goods","0.012","kg"
"","","GODE-CPTZ59R1-MO","Packaging Material","1.0","Pc(s)"
"","","CONT-ETWCRLR0-WASBS","Packaging Material","1.0","Pc(s)"
"","","PUFF-TWCNBRR1-W","Packaging Material","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-BTETC4R0-WRL","Packaging Material","1.0","Pc(s)"
"","","DUS-ETWC4R3-W","Packaging Material","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","Packaging Material","1.0","Pc(s)"
"","","KB-W12X250R1-W","Packaging Material","0.03333","Pc(s)"
"ES-PRPCB-EM3.3GR","5","ES-W0I02RNFS1,3-W","Semi Finished Goods","1.0","Pc(s)"
"","","ES-TQ-RP-W1,3GR","Semi Finished Goods","1.0","Pc(s)"
