Attribute number;Attribute value;Attribute description;Attribute name
10;Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Pouch 200 ml;Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Pouch 200 ml;Product Name
10;Blending Brush Make Over;Blending Brush Make Over;Product Name
10;Blister Paper CUL Matte Lipstick 01 W;Blister Paper CUL Matte Lipstick 01 W;Product Name
10;Blister Paper CUL Matte Lipstick 05 W;Blister Paper CUL Matte Lipstick 05 W;Product Name
10;Blister Paper CUL Matte Lipstick 08 W;Blister Paper CUL Matte Lipstick 08 W;Product Name
10;Blister Paper Eyebrow Pencil Black W (Pc(s));Blister Paper Eyebrow Pencil Black W (Pc(s));Product Name
10;Blister Paper Eyebrow Pencil Brown W (Pc(s));Blister Paper Eyebrow Pencil Brown W (Pc(s));Product Name
10;Blister Paper Lightening Liquid Concealer 01 L W;Blister Paper Lightening Liquid Concealer 01 L W;Product Name
10;Blister Paper Lightening Liquid Concealer 02 B W;Blister Paper Lightening Liquid Concealer 02 B W;Product Name
10;Blister Paper Lightening Liquid Foundation 01 LB R1 W;Blister Paper Lightening Liquid Foundation 01 LB R1 W;Product Name
10;Blister Paper Lightening Liquid Foundation 01 LB W;Blister Paper Lightening Liquid Foundation 01 LB W;Product Name
10;Blister Paper Lightening Liquid Foundation 02 B R1 W;Blister Paper Lightening Liquid Foundation 02 B R1 W;Product Name
10;Blister Paper Lightening Liquid Foundation 02 B W;Blister Paper Lightening Liquid Foundation 02 B W;Product Name
10;Blister Paper Lightening Liquid Foundation 03 I R1 W;Blister Paper Lightening Liquid Foundation 03 I R1 W;Product Name
10;Blister Paper Lightening Liquid Foundation 03 I W;Blister Paper Lightening Liquid Foundation 03 I W;Product Name
10;Blister Paper Lightening Liquid Foundation 04 N R1 W;Blister Paper Lightening Liquid Foundation 04 N R1 W;Product Name
10;Blister Paper Lightening Liquid Foundation 04 N W;Blister Paper Lightening Liquid Foundation 04 N W;Product Name
10;Blister Paper UVS Sunscreen Stick R1 W;Blister Paper UVS Sunscreen Stick R1 W;Product Name
