"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Incoterms"
"BOTO-PSEARTH2502-W","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-PS35WF-P1WG","2303688","26","2","FREE ON BOARD"
"","2310113","26","2","FREE ON BOARD"
"BOTO-PCMWPSFB-W","2200032","17","2","FREE ON BOARD"
"","2200032","16","2","FREE ON BOARD"
"","2200032","16","2","FREE ON BOARD"
"BOTO-PBSFS30R0-E","2306553","8","2","DELIVERED DUTY PAID"
"BOTO-PMPASFS30-E","2306553","6","2","DELIVERED DUTY PAID"
"BOTO-MUEMPFS30-X","2306553","6","2","DELIVERED DUTY PAID"
"BOTO-PNPSS40R0-E","2306553","6","2","DELIVERED DUTY PAID"
"","2306553","6","2","DELIVERED DUTY PAID"
"","2306553","6","2","DELIVERED DUTY PAID"
"","2306553","6","2","DELIVERED DUTY PAID"
"BOTO-BSLPR0-EBS","2200004","4","2","DELIVERED DUTY PAID"
"BOTO-BSLPR1-EM","2200004","6","2","DELIVERED DUTY PAID"
"BOTO-BSLPR2-EM","2200004","4","2","DELIVERED DUTY PAID"
"","2200004","4","2","DELIVERED DUTY PAID"
"","2200004","4","2","DELIVERED DUTY PAID"
"BOTO-RYISRV15-W","2302356","13","2","FREE ON BOARD"
"","2302356","13","2","FREE ON BOARD"
"","2302356","13","2","FREE ON BOARD"
"","2302356","13","2","FREE ON BOARD"
"BOTO-RYISRV30-W","2302356","13","2","FREE ON BOARD"
"","2302356","13","2","FREE ON BOARD"
"","2302356","13","2","FREE ON BOARD"
"","2302356","13","2","FREE ON BOARD"
"BOTO-RO60-60-P","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-S150HC-WPP","2200036","6","2","DELIVERED DUTY PAID"
"BOTO-S150HT-WPP","2200036","6","2","DELIVERED DUTY PAID"
"BOTO-S150OOFMWN-GOHD","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-S150PC-WPP","2200036","6","2","DELIVERED DUTY PAID"
"BOTO-S150PT-WPP","2200036","6","2","DELIVERED DUTY PAID"
"BOTO-S150SBCR1-W","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-S150SBC-WPP","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-S150SBTR1-W","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-S150SBT-WPP","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-S50POOWNLG-P1PH","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-SLAMR0-E","2200032","15","2","FREE ON BOARD"
"","2200032","17","2","FREE ON BOARD"
"","2200032","15","2","FREE ON BOARD"
"BOTO-SGEL-WPNP1","2200101","16","2","FREE ON BOARD"
"","2200101","16","2","FREE ON BOARD"
"BOTO-SLEL-WPETG","2200032","15","2","FREE ON BOARD"
"","2200032","15","2","FREE ON BOARD"
"","2200032","15","2","FREE ON BOARD"
"","2200032","17","2","FREE ON BOARD"
"BOTO-TE40PW-HDPE","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-UVSWRR1-W","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-UVSWRR0-W","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-SPBTBPR1-W","2200028","5","2","DELIVERED DUTY PAID"
"","2200028","5","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-SPBTBPR2-W","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-SPBTBPR0-W","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-AFRBW-K","2200036","4","2","DELIVERED DUTY PAID"
