SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
DUS-CSRDG15R1-W;Dus CS Refreshing Day Gel 15 R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSRDG15R1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSRDG15R2-W;Dus CS Refreshing Day Gel 15 R2 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSRDG15R2-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSRDG30-W;Dus CS Refreshing Day Gel 30 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSRDG30-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSRDG30R1-W;Dus CS Refreshing Day Gel 30 R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSRDG30R1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSRDG30R2-W;Dus CS Refreshing Day Gel 30 R2 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSRDG30R2-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSRQ-EILD;Dus CSRQ;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSRQ-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSRSSKR0-W;Unit Box CS Radiant Skin Starter Kit W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSRSSKR0-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSC-EILG;Dus CSSC MFT Socialite Queen Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSC-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSCADR0-EILG;Dus Dus CSSC Art Day Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSCADR0-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSCR1-EILD;DUS CSSC R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSCR1-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSH-EILG;Dus CSSH MFT Shopaholic Queen Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSH-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSHADR0-EILG;Dus Dus CSSH Art Day Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSHADR0-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSHR1-EILD;Dus CSSH R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSHR1-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSM-EILG;Dus CSSM MFT Summer Queen Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSM-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSMADR0-EILG;Dus Dus CSSM Art Day Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSMADR0-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSMR1-EILD;Dus CSSM R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSMR1-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSSP-EILD;Dus CSSP;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSSP-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT01R1-E;Dus Creamytint 01 Brick Town R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT01R1-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT02R1-E;Dus Creamytint 02 Peach Crush R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT02R1-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT03R1-E;Dus Creamytint 03 Sunbeam R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT03R1-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT04R1-E;Dus Creamytint 04 Wild Berry R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT04R1-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT05R1-E;Dus Creamytint 05 Cherry Soda R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT05R1-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT1R0-E;Dus Cramytint 01 E (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT1R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;regular
DUS-CT2R0-E;Dus Cramytint 02 E (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT2R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;regular
DUS-CT3R0-E;Dus Creamytint 03 E (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT3R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;regular
DUS-CT4R0-E;Dus Creamytint 04 E (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT4R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT5R0-E;Dus Creamytint 05 E (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT5R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;regular
DUS-CT6R0-E;Dus Creamytint 06 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT6R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT7R0-E;Dus Creamytint 07 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT7R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CT8R0-E;Dus Creamytint 08 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CT8R0-E;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CTKR0-W;Dus Crystallure Trial Kit W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Crystallure;;local;;;;;DUS-CTKR0-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CTKR1-W;Dus Crystallure Trial Kit R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Crystallure;;local;;;;;DUS-CTKR1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CTSMESR0-MO;Cardboard TSM Eye Shadow MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;;;;;;DUS-CTSMESR0-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CTSPBR0-MO;Cardboard TSP Blush MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;;;;;;DUS-CTSPBR0-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CTSPESR0-MO;Cardboard TSP Eye Shadow MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;;;;;;DUS-CTSPESR0-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
