Korporat Code,Variant Seller/Vendor/Reference,Variant Seller/Percentage,Variant Seller/Delivery Lead Time,Variant Seller/QC Leadtime in days,Variant Seller/Min Qty,Variant Seller/Lot Size,Variant Seller/Vendor/Display Name,Variant Seller/Purchase Start Date,Variant Seller/Purchase End Date,Variant Seller/Incoterms,Variant Seller/Company/Display Name
DUS-LSA30R0-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",,2021-07-09,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R0-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2022-01-31,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R1-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2021-04-29,2021-06-04,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R1-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2021-06-04,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R1-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2022-01-31,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R1-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2022-01-31,2022-07-18,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R2-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2021-10-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R2-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2022-01-31,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSA30R2-W,2200013,1,4,2,20000,100,"ASTI INDOGRAPH, PT",2022-01-31,2022-07-26,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSAR0-W,2200043,1,4,2,50000,100,"KALINGGA JAYA, CV",2021-01-25,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSAR0-W,2200152,1,4,2,50000,100,"KALINGGA JAYA PRIMA, PT",2022-01-19,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSEBTR0-W,2200037,1,4,2,25000,100,"INDAH KENCANA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LSECCR0-W,2200037,1,4,2,25000,100,"INDAH KENCANA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LTCE1R0-WRL,2200043,1,4,2,20000,100,"KALINGGA JAYA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LTCE1R0-WRL,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2022-01-19,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LTCE2R0-WRL,2200043,1,4,2,20000,100,"KALINGGA JAYA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LTCE2R0-WRL,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2022-01-19,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
