Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Tidak ada BOM,Sediaan,Cek Bundling,Closing Level 1,Closing Level 2,Closing Level 3,Cek Closing Lvl1,Cek Closing Lvl2
FW-GS-L/1,FW-GS-L,STIC-SEALR0-L,Packaging Material,1,Pc(s),STIC-VPWLF24HW50-MO,Liquid factory,FW-GS-L,FW-GS-L,,,STIC-FRVBLSR0-ELL,
FW-GS-L/1,FW-GS-L,STIC-SEPOR0-X,Packaging Material,1,Pc(s),STIC-VPWLF24HW60-MO,Liquid factory,FW-GS-L,FW-GS-L,,,STIC-BRVBLSR0-ELL,
FW-GS-L/1,FW-GS-L,KB-LABCR0-L,Packaging Material,0.05,Pc(s),STIC-VQLP11R0-IP,Liquid factory,FW-GS-L,FW-GS-L,,,BOTO-PETE250-ELL,
FW-GS-L/1,FW-GS-L,PU-LGSSC100-L,Packaging Material,1,Pc(s),STIC-VQLP22R0-IP,Liquid factory,FW-GS-L,FW-GS-L,,,CAP-EARTHBALT-ELL,
FW-GS-L/1,FW-GS-L,BOTO-GBMC100-L,Packaging Material,1,Pc(s),STIC-VQLP32R0-IP,Liquid factory,FW-GS-L,FW-GS-L,,,KB-BTLS150WNL32-K125,
FW-GS-L/1,FW-GS-L,FW-GS-BULK,Semi Finished Goods,0.1,kg,STIC-VQLP33R0-IP,Liquid factory,FW-GS-L,FW-GS-L,,,HBL-ETBMD-BULK,
FW-GS-L/1,FW-GS-L,DUS-GBMC100-L,Packaging Material,1,Pc(s),STIC-VQLP43R0-IP,Liquid factory,FW-GS-L,FW-GS-L,,,STIC-FLRMBLSR0-ELL,
FW-GS-L/1,FW-GS-L,STIC-BGBMC100R0-L,Packaging Material,1,Pc(s),STIC-VQLP52R0-IP,Liquid factory,FW-GS-L,FW-GS-L,,,STIC-BLRMBLSR0-ELL,
FW-GS-L/1,FW-GS-L,STIC-FGBMC100R0-L,Packaging Material,1,Pc(s),STIC-VRCPGC11CR0-W,Liquid factory,FW-GS-L,FW-GS-L,,,BOTO-PETE250-ELL,
FW-GSN2-L/3,FW-GSN2-L,FW-GS-BULK,Semi Finished Goods,0.225,kg,STIC-VRCPGC22NR0-W,Liquid factory,FW-GSN2-L,FW-GSN2-L,,,CAP-EARTHBALT-ELL,
