"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","Created on"
"","","STIC-WADS170-W","Regular","1.0","Pc(s)",""
"","","CAP-BADS170-WPP","Regular","1.0","Pc(s)",""
"","","KB-W200R1-W","Regular","0.0416667","Pc(s)",""
"MY-RTCRE04-W","6 (INLINE)","TC-PC04-BULK","Bulk","0.012","kg","2022-03-04 08:09:42"
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)",""
"","","CONT-ETWCRLR0-WASBS","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRD545-T","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC4R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWC4R3-W","Regular","1.0","Pc(s)",""
"","","STIC-PAEBR1-WM","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"MY-RTCRE05-W","5 (INLINE)","TC-PC05-BULK","Bulk","0.012","kg","2022-03-04 08:11:55"
"","","CONT-ETWCRLR0-WASBS","Regular","1.0","Pc(s)",""
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRD545-T","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC5R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWC5R1-WRL","Regular","1.0","Pc(s)",""
"","","STIC-PAEBR1-WM","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"L-MLCF-OMG","10","L-MLCF-BULK","Bulk","0.0035","kg","2023-01-09 00:41:30"
"","","CAPA-MKLCKIMR0-OMG","Regular","1.0","Pc(s)",""
"","","BOTO-MKLCKIMR0-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BMKLC06R2-OMG","Regular","1.0","Pc(s)",""
"","","DUS-MKLCR2-OMG","Regular","1.0","Pc(s)",""
"","","STIC-VMKLC06R2-OMG","Regular","1.0","Pc(s)",""
"","","IBOX-RRPMKLCR2-OMG","Regular","0.08333","Pc(s)",""
"","","KB-NEONR0-OMG","Regular","0.00694","Pc(s)",""
"L-MLCA-OMG","9","L-MLCA-BULK","Bulk","0.0035","kg","2022-12-02 00:33:56"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)",""
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BMKLC01R3-OMG","Regular","1.0","Pc(s)",""
"","","DUS-MKLCR2-OMG","Regular","1.0","Pc(s)",""
"","","IBOX-RRPMKLCR2-OMG","Regular","0.08333","Pc(s)",""
"","","STIC-VMKLC01R1-OMG","Regular","1.0","Pc(s)",""
"","","KB-NEONR0-OMG","Regular","0.00694","Pc(s)",""
"L-MLCD-OMG","9","L-MLCD-BULK","Bulk","0.0035","kg","2022-12-02 00:35:38"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)",""
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BMKLC04R3-OMG","Regular","1.0","Pc(s)",""
"","","DUS-MKLCR2-OMG","Regular","1.0","Pc(s)",""
