Kode Item,UOM,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024
BOTO-COTR0-B,Pc(s),0,0,0,0,930,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0
BOTO-CPRLR0-W,Pc(s),0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,596,0,0,0,0,0,0,596,596,596,0,596,0,0,0,596,596,0,0,0,0,596,0,1788,0,596,0,0,0,0,596,0,0,1192,0,0,596,596,596,0,0,596,0,0,0,596,596,0,0,0,0,0
BOTO-CSDSBS20R0-W,Pc(s),0,43075,0,43075,0,43075,0,43075,0,43075,0,43075,0,43075,0,43075,0,43075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTO-CSET125R1-W,Pc(s),0,7732,0,0,7732,0,7732,0,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,1384,9116,0,7732,0,7732,0,7732,1384,7732,1384,0,0
BOTO-CSPTE1000R0-W,Pc(s),9880,0,0,0,0,0,2677,2677,0,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,0,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,0,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,0,2677,2677,2677,2677,2677,2677,2677,2677,0,2677,2677,2677,2677,0,0,0,0
BOTO-CSPTE30-W,Pc(s),0,0,0,0,0,0,0,0,0,0,5363,0,0,5363,0,5363,0,5363,0,5363,0,5363,0,5363,0,5363,0,0,5363,0,5363,0,5363,0,5363,0,5363,0,5363,0,0,5363,0,5363,0,5363,0,5363,0,5363,0,5363,0,5363,0,0,5363,0,5363,0,0,5363,0,0,5363,0,0,0,0
BOTO-CSPTE50R0-W,Pc(s),0,0,0,0,0,0,0,3515,3515,0,3515,3515,3515,3515,3515,0,3515,3515,3515,3515,3515,0,3515,3515,3515,3515,0,3515,3515,3515,3515,3515,0,3515,3515,3515,3515,0,3515,3515,3515,3515,3515,0,3515,3515,3515,3515,3515,0,3515,3515,3515,3515,0,3515,3515,3515,3515,3515,0,3515,3515,3515,3515,0,0,0,0
BOTO-CTKBE10-W,Pc(s),0,9384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTO-CTKBE10R1-CL,Pc(s),0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTO-CTR0-E,Pc(s),10752,3584,1076,14276,4660,8244,11828,11828,7168,8244,11828,8244,14336,4660,8244,15412,3584,11828,8244,10752,8244,8244,7168,11828,8244,8244,10752,11828,8244,7168,8244,8244,10752,4660,11828,7168,11828,11828,3584,11828,8244,8244,7168,8244,11828,10752,8244,8244,10752,4660,11828,3584,15412,4660,10752,8244,8244,14336,4660,3584,11828,3584,11828,8244,7168,0,3584,0,0
