product_tmpl_id/default_code,product_tmpl_id/old_koitem,product_tmpl_id/internal_name,product_id/categ_id/display_name,location_id/display_name,lot_id/name,quantity,product_uom_id/name,PUP May,Total Price @PUP,,,Stock 1 Jun 23,Total Price PUP May,"8,231,812,842.00",Qty in pcs,"19,728,415.28"
SACH-PGFW9-OMG,SACH-PGFW9-OMG,Sachet Peach Glowing Face Wash 9 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-06A1,GBMJTK4/JF221367,29000,Pc(s),656.807763185585,19047425.132382,,,,,,,
CAP-SPGFW9-OMG,CAP-SPGFW9-OMG,Cap Sachet Peach Glowing Face Wash 9 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-06A1,GBMJTK4/JF221368,29000,Pc(s),0,0,,,,,,,
IBOX-RRPJKLTSR0-OMG,IBOX-RRPJKLTSR0-OMG,Inner Box RRP Juicy Kiss Lip Tint Serum OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JF291380,16,Pc(s),1426.17370892019,22818.779342723,,,,,,,
STIC-VMKLC01R1-OMG,STIC-VMKLC01R1-OMG,Sticker Varian Matte Kiss Lip Cream 01 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/IK29921,109,pc(s),33.3333333333333,3633.33333333333,,,,,,,
STIC-VMKLC01R1-OMG,STIC-VMKLC01R1-OMG,Sticker Varian Matte Kiss Lip Cream 01 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-1,GBMJTK4/IJ29750,20619,pc(s),33.3333333333333,687300,,,,,,,
STIC-VMKLC02R1-OMG,STIC-VMKLC02R1-OMG,Sticker Varian Matte Kiss Lip Cream 02 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-1,GBMJTK4/IJ25685,24316,pc(s),35.5421686746988,864243.373493976,,,,,,,
STIC-VMKLC02R1-OMG,STIC-VMKLC02R1-OMG,Sticker Varian Matte Kiss Lip Cream 02 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-1,GBMJTK4/II27571,584,pc(s),35.5421686746988,20756.6265060241,,,,,,,
STIC-VMKLC06R1-OMG,STIC-VMKLC06R1-OMG,Sticker Varian Matte Kiss Lip Cream 06 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-4,GBMJTK4/IK22878,19840,pc(s),39.3333333333333,780373.333333333,,,,,,,
STIC-VMKLC07R1-OMG,STIC-VMKLC07R1-OMG,Sticker Varian Matte Kiss Lip Cream 07 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-3,GBMJTK4/IK29918,30000,pc(s),30.0451574569222,901354.723707665,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AA-07B2,GBMJTK4/JB071099,0,pc(s),1474.8493267543,0,,,,,,,
STIC-VMKLC08R1-OMG,STIC-VMKLC08R1-OMG,Sticker Varian Matte Kiss Lip Cream 08 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-4,GBMJTK4/JC011143,1396,pc(s),35.0662557781202,48952.4930662558,,,,,,,
CAPA-JKLTS04R0-OMG,CAPA-JKLTS04R0-OMG,Cap+Applicator+Wiper Juicy Kiss Lip Tint Serum 04 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JG281469,7,Pc(s),967.428,6771.996,,,,,,,
CAPA-JKLTS02R0-OMG,CAPA-JKLTS02R0-OMG,Cap+Applicator+Wiper Juicy Kiss Lip Tint Serum 02 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AC-05A1,GBMJTK4/JG281468,170,Pc(s),967.428,164462.76,,,,,,,
STIC-BMKLCCE13R0-OMG,STIC-BMKLCCE13R0-OMG,Sticker Bottom Matte KLC Coffee Edition 13 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JF071331,221,Pc(s),38.7690233394291,8567.95415801383,,,,,,,
STIC-VMKLCCE13R0-OMG,STIC-VMKLCCE13R0-OMG,Sticker Varian Matte KLC Coffee Edition 13 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JG051399,342,Pc(s),30.0562883256015,10279.2506073557,,,,,,,
STIC-VMKLC08R1-OMG,STIC-VMKLC08R1-OMG,Sticker Varian Matte Kiss Lip Cream 08 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-4,GBMJTK4/IK29924,27,pc(s),35.0662557781202,946.788906009245,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/Release/PKG,GBMJTK4/JH081563,12,pc(s),1474.8493267543,17698.1919210516,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/Release/PKG,GBMJTK4/JH201596,1,pc(s),1474.8493267543,1474.8493267543,,,,,,,
CAPA-MKLCR0-OMG,CAPA-MKLCR0-OMG,Cap+Applicator+Wiper Matte KLC OMG,Packaging Material,JTK 4/Stock/Release/PKG,GBMJTK4/JH201597,1,pc(s),1373.85154831625,1373.85154831625,,,,,,,
DUS-JKLTS04R0-OMG,DUS-JKLTS04R0-OMG,Dus Juicy Kiss Lip Tint Serum 04 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AC-05B1,GBMJTK4/JC181164,7,Pc(s),705,4935,,,,,,,
STIC-VMKLC09R1-OMG,STIC-VMKLC09R1-OMG,Sticker Varian Matte Kiss Lip Cream 09 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-5,GBMJTK4/IJ25684,134,pc(s),34.9886188000562,4688.47491920753,,,,,,,
