Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
DUS-NPBRT100R1-T,0,0,0,0,1776,0,0,0,0,0,1776,0,0,0,0,0,
DUS-NPGM20R0-E,0,0,18107,0,0,18107,0,18107,0,18107,0,18107,0,0,18107,0,
DUS-NPSS40R1-E,0,0,0,0,0,0,0,14236,0,0,0,0,0,0,0,14236,
DUS-NZASS30R1-T,0,0,0,0,0,0,0,0,0,0,0,4436,0,0,0,0,
DUS-PBBNGNM20R1-W,0,0,0,47045,0,47045,47045,0,47045,47045,0,47045,47045,0,47045,47045,
DUS-PBBSR1-EILG,1460,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-PBCBR0-EILG,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-PBCCR1-EILG,1940,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-PBMBOC20-W,47045,94090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-PBMBSG20R1-W,0,94090,94090,94090,47045,0,0,0,0,0,0,0,0,0,0,0,
DUS-PBMR1-EILG,1940,5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-PBSR0-EILG,1460,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-PBVR0-EILG,1460,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-PCCPR0-MO,6676,0,10014,10014,3338,10014,6676,6676,3338,10014,6676,10014,3338,6676,6676,10014,
DUS-PCCPYR1-MO,0,0,3338,0,0,3338,0,0,3338,0,0,3338,0,0,3338,0,
DUS-PCFC62R2-MO,404,0,0,0,404,404,0,404,404,0,404,404,0,404,404,0,
DUS-PCFN10R2-MO,404,1212,1212,1616,1616,1616,1616,1212,1616,1616,1212,2020,1616,1212,2020,1616,
DUS-PCFN30R2-MO,1238,1642,2828,2424,2424,2828,2828,1616,3232,2424,2424,3232,2424,2424,2828,2424,
DUS-PCFN50R2-MO,404,0,0,404,404,404,404,0,404,404,404,404,404,0,404,404,
DUS-PCFW22R2-MO,0,404,1212,1212,1212,1616,1212,808,1616,1212,1616,1616,1212,1212,1616,1212,
DUS-PCFW33R2-MO,404,808,1212,1616,1212,1616,1212,1212,1616,1212,1616,1616,1212,1616,1616,1212,
DUS-PCFW42R2-MO,404,404,808,404,808,808,808,808,808,808,404,1212,404,808,808,808,
DUS-PCFW52R2-MO,0,0,404,0,404,404,0,404,0,404,0,404,0,404,404,0,
DUS-PCSR0-B,0,0,0,0,1657,0,1657,0,1657,0,1657,1657,0,1657,0,1657,
