data update,30 Mei 2023,,
helper,Korporat Code,Variant Seller/Vendor/Display Name,Variant Seller/Min Qty
"BOTO-CVML10R1-WTECHPACK ASIA, PT",BOTO-CVML10R1-W,"TECHPACK ASIA, PT",25000
"BOTO-CVML11KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML11KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML11KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML11KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML11KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML11KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML11KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML11KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML11R0-WTECHPACK ASIA, PT",BOTO-CVML11R0-W,"TECHPACK ASIA, PT",25000
"BOTO-CVML11R1-WTECHPACK ASIA, PT",BOTO-CVML11R1-W,"TECHPACK ASIA, PT",25000
"BOTO-CVML12KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML12KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML12KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML12KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML12KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML12KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML12KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML12KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML12R0-WTECHPACK ASIA, PT",BOTO-CVML12R0-W,"TECHPACK ASIA, PT",25000
"BOTO-CVML12R1-WTECHPACK ASIA, PT",BOTO-CVML12R1-W,"TECHPACK ASIA, PT",25000
"BOTO-CVML13KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML13KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML13KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML13KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML13KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML13KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML13KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML13KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML13R0-WTECHPACK ASIA, PT",BOTO-CVML13R0-W,"TECHPACK ASIA, PT",25000
"BOTO-CVML13R1-WTECHPACK ASIA, PT",BOTO-CVML13R1-W,"TECHPACK ASIA, PT",25000
"BOTO-CVML14KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML14KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML14KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML14KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML14KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML14KR1-W,"KEMAS INDAH MAJU, PT",50000
