Kode Item,Nama Internal,Internal Category,Brand,Qty,Total Price,Status,MOQ,Laptrima,Scrap,SMB,"Kategori FG
(NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Last Incoming,Last SMB
STIC-EDTRO2R1-K,Sticker Samping EDT 1.7 RO R1 K,,,159,126,inactive,2500,0,0,Yes,Reguler,2020,2020
STIC-EDTTB2R1-K,Sticker Samping EDT 1.7 TB R1 K,,,195,126,inactive,2500,0,0,Yes,Reguler,2020,2020
STIC-ELGE50-W,Sticker Eyecatch Lightening Gentle Exfoliator 50 W,,,251009,150,existing,100000,0,0,No,Reguler,2022,2023
STIC-ENFSBSFW-E,Sticker Eyecatch NFS Bright Stuff Face Wash E,,,11624,443.2772166,new product,20000,0,0,No,One Shot,2023,2023
STIC-EPRD22-E,Sticker Emina Package Ramadhan Decorative 2022 E,,,452,1000,inactive,4000,0,0,Yes,Reguler,2021,2022
STIC-EPRM22-E,Sticker Emina Package Ramadhan Mix 2022 E,,,357,1000,existing,4000,0,0,Yes,Reguler,2021,2022
STIC-EPRS22-E,Sticker Emina Package Ramadhan Skincare 2022 E,,,545,1000,existing,4000,0,0,Yes,Reguler,2021,2022
STIC-ERYFW100R0-W,Sticker Eyecatch Renew You Facial Wash 100 W,,,1815,109.4578746,new product,100000,0,0,Yes,Reguler,2022,2022
STIC-ESTSBMO-PSM1W42,Sticker Bottom Trivia ES Skycrapping Blue Make over,,,3156,61,existing,20000,0,0,No,Reguler,2022,2023
STIC-EYECWTSN-WM,Sticker Eyecatch Watson WM,,,11396,120,new product,20000,0,0,Yes,Reguler,2022,2023
STIC-FAHHS100-WM,Sticker Front AH Hand Sanitizer WM,,,142,540,inactive,20000,0,0,Yes,Ex Revamp,2020,2020
STIC-FAPRT100-WGCE,Sticker Front Acnederm Pore Refining Toner 100 W,,,83567,899.8754241,existing,20000,60000,0,No,Reguler,2023,2023
STIC-FAPSR1-MO,Sticker Front APS R1 MO,,,10714,885,existing,10000,0,0,Yes,Reguler,2022,2023
STIC-FBBLA-WL,Sticker Front & Back BL Amore WL,,,14839,1680,new product,10000,0,0,Yes,Reguler,2022,2023
STIC-FBBLF-WL,Sticker Front & Back BL Fearless WL,,,17165,1680,new product,25000,0,0,Yes,Reguler,2022,2023
STIC-FBBLM-WL,Sticker Front & Back BL Mode WL,,,20048,560,new product,25000,0,30,No,Reguler,2022,2023
STIC-FBBLR-WL,Sticker Front & Back BL Royale WL,,,21402,1120,new product,25000,0,0,Yes,Reguler,2022,2023
STIC-FBBLV-WL,Sticker Front & Back BL Voyage WL,,,17924,2240,new product,25000,0,0,No,Reguler,2022,2023
