"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"SMAS-BSESMR0-E","Packaging Material","Regular","","","",""
"FW-BS-BULK","Semi Finished Goods","Bulk","","","",""
"M-BSCE20-X","Packaging Material","Regular","","","",""
"M-BSTUC-BULK","Semi Finished Goods","Bulk","","","",""
"FW-BSAPE50-X","Packaging Material","Regular","","","",""
"PARF-BRCE-X","Raw Material","","","","",""
"BRO-PHW2013-A1910","Packaging Material","Regular","","","",""
"EBM-BSEDAMO-X","Packaging Material","Regular","","","",""
"EBM-BSEDAR1-MO","Packaging Material","Regular","","","",""
"EBM-BSEDAR2-MO","Packaging Material","Regular","","","",""
"EBM-BSEDCLR1-MO","Packaging Material","Regular","","","",""
"EBM-BSEDCLR2-MO","Packaging Material","Regular","","","",""
"EBM-BSEDMR1-MO","Packaging Material","Regular","","","",""
"EBM-BSEDMR2-MO","Packaging Material","Regular","","","",""
"BRUS-AEXEBK-WMSF","Packaging Material","Regular","","","",""
"BRUS-CQEPR0-W","Packaging Material","Regular","","","",""
"BRUS-CPCCC01R0-W","Packaging Material","Regular","","","",""
"BRUS-CPCCC02R0-W","Packaging Material","Regular","","","",""
"BRUS-DEESR0-MOSH","Packaging Material","Regular","","","",""
"BRUS-DESAEXEBKR1-W","Packaging Material","Regular","","","",""
