Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,,Tidak ada BOM
B-DMCP04-BULK/6,B-DMCP04-BULK,CORN---K,Raw Material,0.03,kg,,L-RMLCA-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,VITA-DL E-MS,Raw Material,0.0001,kg,,L-RMLCB-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,PARF-AMSKLG-X,Raw Material,0.0002,kg,,L-RMLCC-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,PEN-SENSC50-X,Raw Material,0.004,kg,,L-RMLCD-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,TALC-OSBRTPD-X,Raw Material,0.500865,kg,,L-RMLCE-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,ZINC-ZNOLYS-X,Raw Material,0.005,kg,,L-RMLCF-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,PEN-PRSVPE-X,Raw Material,0.008,kg,,L-RMLCG-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,SILD--SI5H52D-K,Raw Material,0.01,kg,,L-RMLCH-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,UVIN-MC80-BASF,Raw Material,0.01,kg,,L-RMLCI-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,PWD-KALNPD-X,Raw Material,0.03,kg,,L-RMLCJ-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,WARN-RED3ASTDMS-BULK,Intermediate,0.013641,kg,,L-RMLCK-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,WARN-TETDMS-BULK,Intermediate,0.004478,kg,,L-RMLCL-OMG
B-DMCP04-BULK/6,B-DMCP04-BULK,WARN-YLW3AS-X,Raw Material,0.013716,kg,,L-RMLCM-OMG
B-DMCP04-EM/4,B-DMCP04-EM,B-DMCP04-BULK,Semi Finished Goods,0.011,kg,,L-RMLCN-OMG
B-DMCP04-EM/4,B-DMCP04-EM,"GODE-TWC5,4B-SM-P",Packaging Material,1,Pc(s),,L-RMLCO-OMG
B-DMCP04-EM/4,B-DMCP04-EM,CONT-DMCPR1-E,Packaging Material,1,Pc(s),,L-RMLCP-OMG
B-DMCP04-EM/4,B-DMCP04-EM,PUFF-DMCPR0-E,Packaging Material,1,Pc(s),,L-RMLCQ-OMG
B-DMCP04-EM/4,B-DMCP04-EM,PLAS-DMCTWCRP-P85,Packaging Material,1,Pc(s),,L-RMLCR-OMG
B-DMCP04-EM/4,B-DMCP04-EM,STIC-BDMCP04R0-E,Packaging Material,1,Pc(s),,LD-CDFB01-B
B-DMCP04-EM/4,B-DMCP04-EM,DUS-DMCPR1-E,Packaging Material,1,Pc(s),,M-BRAISG-L
B-DMCP04-EM/4,B-DMCP04-EM,STIC-VDMCP04R0-E,Packaging Material,1,Pc(s),,M-BRAISGN3-L
B-DMCP04-EM/4,B-DMCP04-EM,KB-EAR0-KMM125,Packaging Material,0.02778,Pc(s),,M-NFSBRERC-L
B-DMLP01-EM/6,B-DMLP01-EM,CONT-DMLPR0-EASBS,Packaging Material,1,Pc(s),,M-RRYDCN1-W
B-DMLP01-EM/6,B-DMLP01-EM,B-DMLP01-BULK,Semi Finished Goods,0.02,kg,,M-RRYDCN2-W
B-DMLP01-EM/6,B-DMLP01-EM,PUFF-LLPR0-WMFP,Packaging Material,1,Pc(s),,M-RRYDCN3-W
B-DMLP01-EM/6,B-DMLP01-EM,CAPC-DMLPR0-EASBS,Packaging Material,1,Pc(s),,M-RRYNCN1-W
B-DMLP01-EM/6,B-DMLP01-EM,SHIF-DMLPR0-EPPN,Packaging Material,1,Pc(s),,M-RRYNCN2-W
B-DMLP01-EM/6,B-DMLP01-EM,STIC-BTDMP1RR1-E,Packaging Material,1,Pc(s),,M-RWSDCN1-W
B-DMLP01-EM/6,B-DMLP01-EM,KB-EAR0-KMM125,Packaging Material,0.03125,Pc(s),,M-RWSDCN2-W
B-DMLP01-EM/6,B-DMLP01-EM,DUS-DMLP01R2-E,Packaging Material,1,Pc(s),,M-RWSDCN3-W
B-DMLP02-BULK/17,B-DMLP02-BULK,CORN---K,Raw Material,0.2,kg,,M-RWSNCN1-W
B-DMLP02-BULK/17,B-DMLP02-BULK,WARN-CLRG-X,Raw Material,0.001565,kg,,M-RWSNCN2-W
B-DMLP02-BULK/17,B-DMLP02-BULK,WARN-ABIO-X,Raw Material,0.000587,kg,,M-SM01-KA
B-DMLP02-BULK/17,B-DMLP02-BULK,ZINC-STW-X,Raw Material,0.01,kg,,M-SSSC01-B
B-DMLP02-BULK/17,B-DMLP02-BULK,TALC-OSBRTPD-X,Raw Material,0.765117,kg,,M-WHPG-W40ML
B-DMLP02-BULK/17,B-DMLP02-BULK,TITA--3328EW-K,Raw Material,0.01,kg,,M-WSDGN1-W
B-DMLP02-BULK/17,B-DMLP02-BULK,EXTR-CNDWLHB-X,Raw Material,0.01,kg,,M-WSDGN2-W
B-DMLP02-BULK/17,B-DMLP02-BULK,WARN-COGO--K,Raw Material,0.002631,kg,,MA-BSE-EM
B-DMLP02-BULK/17,B-DMLP02-BULK,PARF-AMSKLG-X,Raw Material,0.0001,kg,,MA-LESM-W
B-DMLP02-EM/6,B-DMLP02-EM,B-DMLP02-BULK,Semi Finished Goods,0.02,kg,,MA-MSCD-W
B-DMLP02-EM/6,B-DMLP02-EM,CONT-DMLPR0-EASBS,Packaging Material,1,Pc(s),,MA-MSL-W
B-DMLP02-EM/6,B-DMLP02-EM,SHIF-DMLPR0-EPPN,Packaging Material,1,Pc(s),,MA-MSND-W
B-DMLP02-EM/6,B-DMLP02-EM,DUS-DMLP02R2-E,Packaging Material,1,Pc(s),,MA-MTRWS-W
B-DMLP02-EM/6,B-DMLP02-EM,KB-EAR0-KMM125,Packaging Material,0.03125,Pc(s),,MA-NDSVC-W
B-DMLP02-EM/6,B-DMLP02-EM,PUFF-LLPR0-WMFP,Packaging Material,1,Pc(s),,MA-RBSE-EM
B-DMLP02-EM/6,B-DMLP02-EM,STIC-BTDMP2RR1-E,Packaging Material,1,Pc(s),,MA-RMTRWS-W
B-DMLP02-EM/6,B-DMLP02-EM,CAPC-DMLPR0-EASBS,Packaging Material,1,Pc(s),,MASK-CLV-EM
B-HRFP-MO/2,B-HRFP-MO,KB-MOAR0-MO,Packaging Material,0.02778,Pc(s),,MASK-EEAL-W6GR
