"id","product_tmpl_id/default_code","location_id/display_name","lot_id/name","quantity","product_uom_id/name"
"__export__.stock_quant_4999_98a2d988","PURO-IDD-X","JTK 4/Stock/RM","GBMJTK6/IB26031","39.4999999999995","g"
"__export__.stock_quant_5117_8ca9c412","BOTO-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG02223","13.0","Pc(s)"
"__export__.stock_quant_5121_5eab6cc7","CAPA-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG02224","13.0","Pc(s)"
"__export__.stock_quant_5223_7ba2f3f2","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IG02220","26.0","pc(s)"
"__export__.stock_quant_5308_0f2c4833","BOTO-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG16259","13.0","Pc(s)"
"__export__.stock_quant_5309_3adbf94c","CAPA-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG16260","13.0","Pc(s)"
"__export__.stock_quant_5321_fca8108a","L-MLCB-BULK","JTK 4/Quarantine/PKG","FH30A","1460.0","g"
"__export__.stock_quant_5323_b7751cdb","L-MLCC-BULK","JTK 4/Quarantine/PKG","GH06A","3160.0","g"
"__export__.stock_quant_5329_78766d6b","L-MLCB-BULK","JTK 4/Quarantine/PKG","GH08A","1400.0","g"
"__export__.stock_quant_5333_00faad3d","L-MLCE-BULK","JTK 4/Quarantine/PKG","GH08A","1220.0","g"
"__export__.stock_quant_5488_58d5a771","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG09236","8.0","pc(s)"
"__export__.stock_quant_5491_81f9140c","BOTO-MKLCR0-OMG","JTK 4/Stock/PKG","GBMJTK4/IG09237","'-8.0","pc(s)"
"__export__.stock_quant_5492_9550ce5e","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG09237","8.0","pc(s)"
"__export__.stock_quant_5495_97133900","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG12246","13.0","pc(s)"
"__export__.stock_quant_5504_4cd92ac8","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG12247","13.0","pc(s)"
"__export__.stock_quant_5516_967c5e39","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG14252","16.0","pc(s)"
"__export__.stock_quant_5519_9af6d7e0","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IG14253","16.0","pc(s)"
"__export__.stock_quant_5529_ded0ef1e","L-MLCB-BULK","JTK 4/Quarantine/PKG","GH23A","1600.0","g"
"__export__.stock_quant_5536_c3c59366","L-MLCE-BULK","JTK 4/Quarantine/PKG","GH02A","5600.0","g"
"__export__.stock_quant_5537_2195233e","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IG21265","16.0","pc(s)"
