Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
1037,HCR-MHPBS-X,Hair Fix Agent,HRC1-AKACA,"Mihapol PBS-50 ex Miwon Commercial Co., Ltd., Korea",Kg,Eksis,,"Lautan Luas, PT",16,180,Ilham,Pull,,HCR-MHPBS-X,,,,#N/A,,,
1038,ACTI-CCLRK-X,Lipid Essential,MST1-ALACB,"Ceramide Complex CLR K ex CLR, Germany",Kg,Belum Eksis,Cek Mikro,"Marga Dwi Kencana, PT",10,5,Amel,,,ACTI-CCLRK-X,,,,#N/A,,,
1039,ACTI-HXCTEC-X,Centica Extract,SAI1-ALACC,"Herbex Centella Asiatica ex Biospectrum, Inc., Korea",Kg,Eksis,Cek Mikro,"Clariant Indonesia, PT",28,18,Ilham,,,ACTI-HXCTEC-X,,,,,,,
1040,EMUL-SNRFA-X,Crystalline FA,EMS3-ALACD,Sinar FA1299,Kg,Eksis,,Rolimex Kimia Nusamas,4,25,Amel,,,EMUL-SNRFA-X,,,,,,,
1041,PENG-RCSBZ-X,Pengawet SB,PRV3-ALACE,"RonaCare Sodium Benzoate ex Merck KgaA, Germany",Kg,Eksis,,"Azelis Indonesia Distribusi, PT",18,25,Amel,,,PENG-RCSBZ-X,,,,,,,
1042,HUM-PG400C-X,Humektan C-400,SLV1-ALACF,"Polyglykol 400 C ex Clariant Chemicals (Huizhou) Ltd., China",Kg,Eksis,,"Clariant Indonesia, PT",24,220,Ilham,,,HUM-PG400C-X,,,,,,,
1043,EMUL-PL64-X,Cleansing Mild,EMS1-ALACG,"Pluracare L 64 G ex BASF SE, Germany",Kg,Belum Eksis,,"BASF Distribution Indonesia, PT",18,210,Septi,Pull,,EMUL-PL64-X,,,,,,,
1044,POWD-GHHDI-X,Mica HD,PWD3-BAAAD,"GH-103HDI ex Chuzhou Grea Minerals Co., Ltd., China",Kg,Eksis,,"DKSH Indonesia, PT",12,25,Septi,,,POWD-GHHDI-X,,,,,,,
1045,POWD-GHDS-X,Mica DS,PWD3-BAAAE,"GH-502DS ex Chuzhou Grea Minerals Co., Ltd., China",Kg,Eksis,,"DKSH Indonesia, PT",12,20,Septi,,,POWD-GHDS-X,,,,,,,
1046,POWD-TGDS-X,Talk DS,PWD3-BAAAF,"TG-10DS ex Chuzhou Grea Minerals Co., Ltd., China",Kg,Eksis,,"DKSH Indonesia, PT",12,25,Septi,,,POWD-TGDS-X,,,,,,,
1047,EMO-BSLDMA-X,Silikon DM 50,EMO1-BAAAB,"Belsil DM 50 ex Wacker Chemie AG, India",Kg,Belum Eksis,,"DKSH Indonesia, PT",20,200,Septi,,,EMO-BSLDMA-X,,,,,,,
1048,EMO-BSLDMZ-X,Silikon DM 100,EMO1-BAAAC,"Belsil DM 100 ex Wacker Chemie AG, India",Kg,Eksis,,"DKSH Indonesia, PT",20,200,Septi,,,EMO-BSLDMZ-X,,,,,,,
1049,SILI-BEGAEIB-X,Silicon Modifier,SLC2-BAAAG,"Belsil EG 1592 ex Wacker Metroark Chemicals Pvt. Ltd, India",Kg,Eksis,,"DKSH Indonesia, PT",20,15,Septi,,,SILI-BEGAEIB-X,,,,,,,
1050,PENG-HDPOEA-X,Pengawet Netral,PRV1-BAAAH,"Hydrogen Peroxide 50wt% ex Taekwang Industrial Petrochemical, Korea",Kg,Eliminasi,,"DKSH Indonesia, PT",2,30,Septi,,,PENG-HDPOEA-X,,,,,,,
1051,POWD-MCSLKDB-X,Serbuk ACA,PWD3-BAAAI,"Microsilk 422 ex Micro Powders, Inc., USA",Kg,Eksis,,"Colorindo Chemtra, PT",16,70,Amel,Pull,,POWD-MCSLKDB-X,,,,,,,
1052,RHM-DREAQA-X,Pengental Plastis,RHM2-BBABD,"D-Rheo Aqua ex PT Dunia Kimia Jaya, Indonesia",Kg,Eksis,,"Lautan Luas, PT",4,800,Ilham,Pull,palet,RHM-DREAQA-X,,,,,,,
1053,EMO-WHMLCG-X,Lilin Oil,EMO1-BBABE,"Whimol 15 CG ex PT Dunia Kimia Jaya, Indonesia",Kg,Eksis,,"Lautan Luas, PT",4,170,Ilham,Pull,,EMO-WHMLCG-X,,,,,,,
1054,RHM-DREIA-X,Pengental Powder,RHM3-BBABC,"D-Rheo 940 ex PT Dunia Kimia Jaya, Indonesia",Kg,Eksis,,"Lautan Luas, PT",4,20,Ilham,Pull,,RHM-DREIA-X,,,,,,,
1055,EXTR-CRNEGN-X,American Cranberry,WBE1-BBABB,"Cranberry Extract GNBN ex Provital, Spain",Kg,Eksis,Cek Mikro,"Sinergi Multi Lestarindo, PT",10,5,Amel,Pull,,EXTR-CRNEGN-X,,,,,,,
1056,PENG-NPGEHP-X,Pengawet PHE,PRV1-BBABG,"Nipaguard EHP ex PT Clariant Indonesia, Indonesia",Kg,Habiskan stock,,"Clariant Indonesia, PT",4,25,Ilham,,,PENG-NPGEHP-X,,,,,,,
1057,FLMR-SYKLCG-X,Film Dispers,FFM1-BBABH,"Syntran KL219CG ex Interpolymer, France",Kg,Eksis,,"Behn Meyer Chemical, PT",10,25,Amel,,,FLMR-SYKLCG-X,,,,,,,
1058,FLMR-HYDTCM-X,Filmer WL,FFM1-BBABI,"Hydrotriticum PVP PE-LQ-(WD) ex Croda Europe Ltd., UK",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",20,25,Ilham,,,FLMR-HYDTCM-X,,,,,,,
1059,PENG-ISCGPHG-X,Pengawet PEHG,PRV1-BCABJ,"Iscaguard PEHG ex ISCA UK Ltd., UK",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,200,Ilham,,,PENG-ISCGPHG-X,,,,,,,
1060,SURF-EC702C-X,Cleanser Agent,SRF2-BCACA,"Ecosol N702C ex PT Indo Sukses Sentra Usaha, Indonesia",Kg,Eksis,,"Indokemika Jayatama, PT",2,160,Amel,,,SURF-EC702C-X,,,,,,,
1061,ACTI-YZEX-X,Citrus Concentrate,WBE1-BCACF,"Yuzu Extract ex SK Bioland, Korea",Kg,Eksis,,"Menjangan Sakti, PT",12,20,Septi,Pull,,ACTI-YZEX-X,,,,,,,
1062,MOIST-VS68M-X,Mineral Jelly,EMO3-BCACG,"Vaslina 680 M ex PT Dunia Kimia Jaya, Indonesia",Kg,Belum Eksis,,"Lautan Luas, PT",4,170,Ilham,Pull,,MOIST-VS68M-X,,,,,,,
1063,WAX-WHPRWT-X,Lilin Putih,WAX3-BCACH,"White Parawax T 1 ex PT Dunia Kimia Jaya, Indonesia",Kg,Eksis,,"Lautan Luas, PT",4,30,Ilham,Pull,,WAX-WHPRWT-X,,,,,,,
1064,ACTI-PTLS8951-X,Green Pea Extract,AAG3-BDADB,"ProteasylÂ® PW PSE LS 8951 ex BASF, France",Kg,Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",18,1,Septi,Pull,,ACTI-PTLS8951-X,,,,,,,
1065,SILI-KF54HV-X,Silicone Glaze,SLC1-BDADD,"KF-54HV ex Shin-Etsu Chemical Co., Ltd., Japan",Kg,Eksis,,"Menjangan Sakti, PT",16,18,Septi,Pull,,SILI-KF54HV-X,,,,,,,
1066,FLMR-ELS7P-X,Film Former ESPE,FFM3-BDADE,"Ethocel Standard 7 Premium Ethylcellulose ex Dow Chemical Company, USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,25,Ilham,,,FLMR-ELS7P-X,,,,,,,
1067,ACTI-AZCLR-X,Pimple Agent,ACN1-BDADF,"Azeclair ex Corum, Taiwan",Kg,Eksis,Cek Mikro,"Lautan Luas, PT",14,10,Ilham,Pull,,ACTI-AZCLR-X,,,,,,,
1068,EXTR-WLETG-X,Willy Extract,WBE1-BDADG,"Willow Extract GNBN ex Provital, Switzerland",Kg,Eksis,Cek Mikro,"Sinergi Multi Lestarindo, PT",10,5,Amel,Pull,,EXTR-WLETG-X,,,,,,,
1069,RHM-PLMCMA-X,Fatty Acid 14,RHM3-BEAAD,"Palmac 99-14 ex IOI Acidchem Sdn Bhd, Malaysia",Kg,Habiskan stock,,"Green Innovation Sejati, PT",12,25,Amel,,,RHM-PLMCMA-X,,,,,,,
1070,EXTR-PCGD2SG-X,Ekstrak Persik,WBE1-BEAAJ,Peach Extract PS,Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",16,25,Ilham,,,EXTR-PCGD2SG-X,,,,,,,
1071,EMU-CPSNL-X,Gentle CSA,EMS3-BEABB,"Cepsinol 1618 ex PT Energi Sejahtera Mas, Indonesia",Kg,Belum Eksis,,Rolimex Kimia Nusamas,2,25,Amel,,,EMU-CPSNL-X,,,,,,,
1072,SILI-KP56P-X,Acrypol Metha,RHM3-BEABD,KP-561P,Kg,Eksis,,"Menjangan Sakti, PT",16,16,Septi,Pull,,SILI-KP56P-X,,,,,,,
1073,EMUL-WFASA-X,Waxy Solid,EMS3-BEABE,Wilfarin SA-1843,Kg,Eksis,,"Jaya Manis Indonesia, PT",8,25,Amel,,,EMUL-WFASA-X,,,,,,,
1074,SOLV-MFLMOD-X,White Oil,SLV1-BEABF,Hydrobrite HV White Mineral Oil,Kg,Eksis,,"Connell Bersaudara Chemindo, PT",24,182,Amel,,,SOLV-MFLMOD-X,1092,,,,,,
1075,EMUL-SFTPSA-X,Waxy Pressed,EMS3-BEABG,Sinar FAB Triple Pressed Stearic Acid,Kg,Belum Eksis,,Rolimex Kimia Nusamas,2,25,Amel,,,EMUL-SFTPSA-X,,,,,,,
1076,EMU-CTLE-X,Emollient PGSE,EMO1-BFABI,Cetiol E,Kg,Belum Eksis,,"BASF Distribution Indonesia, PT",20,190,Septi,Pull,,EMU-CTLE-X,,,,,,,
1077,EMO-BLSLDM-X,Silikon DM-350,EMO1-BFABJ,Belsil DM 350,Kg,Eksis,,"DKSH Indonesia, PT",20,200,Septi,,,EMO-BLSLDM-X,,,,,,,
1078,SURF-CTISL-X,Clear Cleanser,SRF1-BFACA,Cithrol 10GTIS-LQ-(MV),Kg,Habiskan stock,,"Croda Trading Indonesia, PT",20,20,Ilham,,,SURF-CTISL-X,,,,,,,
1079,PRE-VLEHG-X,Preservative EHG,PRV1-BFACB,Velsan EHG,Kg,Eliminasi,,"Clariant Indonesia, PT",19,20,Ilham,,,PRE-VLEHG-X,,,,,,,
1080,PWD-BNTNT-X,Clay Adsorbent,RHM3-BFACE,Bentonite,Kg,Eksis,Cek Mikro,"Kobayashi Costalc Indonesia, PT",2,25,Amel,,,PWD-BNTNT-X,,,,,,,
1081,POWD-TLCER2-X,Talk CEDS,PWD3-BFACC,Talc EDS(R2),Kg,Belum Eksis,Cek Mikro,"Colorindo Chemtra, PT",14,25,Amel,Pull,,POWD-TLCER2-X,,,,,,,
1082,PWD-MNLGZN-X,Oil Absorber,SBA3-BFACD,Mineralis® GU/Zn,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,25,Ilham,,,PWD-MNLGZN-X,,,,,,,
1083,MOIS-EPDRMST-X,Moisturizer Mist,MST1-BGACG,Epidermist P1.5,Kg,Belum Eksis,Cek Mikro,"Marga Dwi Kencana, PT",8,5,Amel,,,MOIS-EPDRMST-X,,,,,,,
1084,WAX-PFRMSW-X,Wax Agent,WAX3-BGACH,Performa SW-88 Synthetic Wax,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WAX-PFRMSW-X,,,,,,,
1085,SILI-ECDC-X,Elastomer CDC,SLC2-BGACI,TCE-3047,Kg,Eksis,,"Indokemika Jayatama, PT",12,18,Amel,,,SILI-ECDC-X,,,,,,,
1086,SALT-TSCD-X,Garam Sitrat,GRM3-BGACJ,Trisodium Citrate Dihydrate,Kg,Eksis,,"IMCD Indonesia, PT",14,25,Ilham,,,SALT-TSCD-X,,,,,,,
1087,EXTR-ORGE-X,Orange Extract,WBE1-BGADB,Orange Glycolic Extract,Kg,Eksis,,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-ORGE-X,,,,,,,
1088,SILI-BLSEGAB-X,Silikon DCP,SLC2-BGADD,Belsil EG 1200,Kg,Eksis,,"DKSH Indonesia, PT",20,150,Septi,,,SILI-BLSEGAB-X,,,,,,,
1089,SILI-MCMA-X,Silikon CP5,SLC1-BGADC,Mirasil CM5 A2,Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,190,Ilham,,,SILI-MCMA-X,,,,,,,
1090,SURF-ISLX-X,Surfaktan Grand,SRF3-BGADF,Iselux,Kg,Belum Eksis,,"Nardevchem Kemindo, PT",20,90.7,Septi,,,SURF-ISLX-X,,,,,,,
1091,EMO-PLTRSB-X,Fatty butter,EMO3-BHAEA,Plantasens Refined Shea Butter,Kg,Eksis,,"Clariant Indonesia, PT",19,25,Ilham,,,EMO-PLTRSB-X,,,,,,,
1092,ANTP-DRYGNL-X,Deodorizer Agent,APS1-BHAEE,Drygen L,Kg,Belum Eksis,,"Clariant Indonesia, PT",20,260,Ilham,,,ANTP-DRYGNL-X,,,,,,,
1093,NEUT-CSSFL-X,Soda Agent,NTA3-BHAEJ,Caustic Soda Flake,Kg,Belum Eksis,,"Panca Kusuma Raya, PT",4,25,Amel,,,NEUT-CSSFL-X,,,,,,,
1094,SOLV-PRIHD-X,Cairan Smooth,SLV1-BHAFB,Isohexadecane,Kg,Eksis,,"DKSH Indonesia, PT",12,160,Septi,,,SOLV-PRIHD-X,,,,,,,
1095,SURF-ISULMD-X,Surfaktan Mild,SRF1-BHAFC,Iselux Ultra Mild,Kg,Eksis,,"Nardevchem Kemindo, PT",16,190.5,Septi,,,SURF-ISULMD-X,,,,,,,
1096,SILC-AERSLR-X,Free Flowing Agent,RHM3-BHAFD,Aerosil R 972,Kg,Eksis,,"Jebsen Jessen Ingredients Indonesia, PT",12,10,Septi,,,SILC-AERSLR-X,,,,,,,
1097,EMO-SLCHS-X,Coating Polymer,DSP1-BHAFE,Salacos HS-6C,Kg,Eksis,,"Kemiko Indonesia, PT",3,15,Septi,Pull,,EMO-SLCHS-X,,,,,,,
1098,ACTI-NXBHT-X,Antioksidan NB,ASB3-BHAFH,Nipanox BHT,Kg,Belum Eksis,,"Clariant Indonesia, PT",15,25,Ilham,,,ACTI-NXBHT-X,,,,,,,
1099,SUNS-CHMOS-X,Sunscreen Agent,SCR1-BHAFI,Chem OS,Kg,Eksis,Cek Mikro,"Namsiang Trading Indonesia, PT",6,200,Amel,,,SUNS-CHMOS-X,,,,,,,
1100,SOLV-BGKHN-X,Cairan Pelembab KN,SLV1-BHAFG,"1,3-Butylene Glycol",Kg,Eksis,,"Kemiko Indonesia, PT",12,800,Septi,Pull,palet,SOLV-BGKHN-X,,,,,,,
1101,EMUL-EMLGDCN-X,Wax 165 CN,EMS3-BHAJC,Emulgade 165 CN,Kg,Belum Eksis,,"BASF Distribution Indonesia, PT",12,25,Septi,Pull,,EMUL-EMLGDCN-X,,,,,,,
1102,PRE-ISCGBA-X,Pengawet BA-PNM,PRV1-BIAJI,Iscaguard BA,Kg,Belum Eksis,,"Avantchem, PT",16,25,Amel,,,PRE-ISCGBA-X,,,,,,,
1103,ACTI-CSR10S-X,Vitamin A CSR,AAG1-BIBAA,Cylasphere Retinol 10S,Kg,Eksis,Cek Mikro,"BASF Distribution Indonesia, PT",12,5,Septi,Pull,,ACTI-CSR10S-X,,,,,,,
1104,ACTI-AICE06-X,Lipid Active,MST1-BIAJJ,Actosome Inoceramide E06,Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",6,5,Septi,Pull,,ACTI-AICE06-X,,,,,,,
1105,ACTI-SYTLA-X,Reverse Aging Active,AAG1-BIBAB,Sytenol A,Kg,Eksis,Cek Mikro,"DKSH Indonesia, PT",6,1,Septi,,,ACTI-SYTLA-X,,,,,,,
1106,RHM-MKMSS-X,Spongy Powder,RHM3-BIBAF,MAKIMOUSSE 7,Kg,Eksis,,"Kemiko Indonesia, PT",16,15,Septi,Pull,,RHM-MKMSS-X,,,,,,,
1107,SILI-KSGFT-X,Silicone Hazy,SLC2-BIBAI,KSG-15,Kg,Eksis,,"Menjangan Sakti, PT",8,16,Septi,Pull,,SILI-KSGFT-X,,,,,,,
1108,EMO-TSPLT-X,Fisili-form,EMO1-BIBAJ,TSPL-30-ID,Kg,Eksis,,"Menjangan Sakti, PT",12,14,Septi,Pull,,EMO-TSPLT-X,,,,,,,
1109,RHM-VLVABE-X,Silicone Elastomer Sildery,RHM2-BIBCB,Velvesil 125,Kg,Eksis,,"Kemiko Indonesia, PT",18,149.82,Septi,Pull,,RHM-VLVABE-X,,,,,,,
1110,POL-TRTRY-X,Powder Polysphere,PWD3-BIBCA,TR-1,Kg,Eksis,,"Kemiko Indonesia, PT",20,5,Septi,Pull,,POL-TRTRY-X,,,,,,,
1111,OIL-EVPRO-X,Primerole Oil,OBW1-BJBDA,Evening Primrose Oil (TX008264),Kg,Belum Eksis,,"Nardevchem Kemindo, PT",16,23,Septi,,,OIL-EVPRO-X,,,,,,,
1112,CHE-EDTABD-X,Diedta,CHE3-BJBDB,Edeta BD,Kg,Belum Eksis,,"BASF Distribution Indonesia, PT",24,25,Septi,Pull,,CHE-EDTABD-X,,,,,,,
1113,POW-SP50S-X,Silica H50S,PWD3-BJBDD,Sipernat® 50S,Kg,Eksis,,"Jebsen Jessen Ingredients Indonesia, PT",16,12.5,Septi,,,POW-SP50S-X,,,,,,,
1114,PEAR-GNPPMS-X,Pearlescent Agent,VES3-BJBDH,Genapol PMS,Kg,Eksis,,"Clariant Indonesia, PT",8,25,Ilham,,,PEAR-GNPPMS-X,,,,,,,
1115,EXTR-GNGGE-X,Spice Rhizome Extract,WBE1-BKBDJ,GINGER GLYCOLIC EXTRACT,Kg,Eksis,,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-GNGGE-X,,,,,,,
1116,ACTI-SKINFLV-X,Lamellar Lipid,MST1-BKBEA,SK INFLUX V MB,Kg,Eksis,,"Evonik Indonesia, PT",16,25,Septi,,,ACTI-SKINFLV-X,,,,,,,
1117,EMUL-WDRSL-X,Dew-mulsifier,EMS1-BKBEB,WaterDropSil,Kg,Eksis,,"Mega setia Agung Kimia, PT",4,20,Ilham,,,EMUL-WDRSL-X,,,,,,,
1118,PWD-KALNPD-X,Kaolinite,PWD3-BKBEC,Kaolin Powder,Kg,Eksis,,"Kobayashi Costalc Indonesia, PT",4,240,Amel,,,PWD-KALNPD-X,,,,,,,
1119,WAX-KHWXBA-X,Grainy wax,WAX3-BKBED,Kahlwax 2811,Kg,Eksis,,"Tritunggal Artha Makmur, PT",18,20,Ilham,,,WAX-KHWXBA-X,,,,,,,
1120,SILI-VLVDLG-X,Silicon Gel,SLC2-BKBEE,Velvesil DM LC Gel,Kg,Eksis,,"Kemiko Indonesia, PT",18,15.89,Septi,Pull,,SILI-VLVDLG-X,,,,,,,
1121,SCRU-SYSCBLS-X,Scrub Polywax Blue,EXF3-BKBEF,Synscrub 164BLS,Kg,Eksis,,"Colorindo Chemtra, PT",20,70,Amel,Pull,,SCRU-SYSCBLS-X,,,,,,,
1122,EMO-ZTMLAB-X,Disperser Liquid,DSP1-BKBEG,Zetemol AB,Kg,Belum Eksis,,"Maha Kimia Indonesia, PT",,,Ilham,,,EMO-ZTMLAB-X,,,,,,,
1123,SILI-BPF-X,Silicon BPF,SLC1-ADE,Belsil PF 22,Kg,Habiskan Stock,,"DKSH Indonesia, PT",8,210,Septi,,,SILI-BPF-X,Active,,,,,,
1124,EXTR-FRPNGE-X,Plumeria Extract,WBE1-BKBFA,Frangipani Glycolic Extract,Kg,Eksis,,"Haldin Pacific Semesta, PT",8,25,Ilham,,,EXTR-FRPNGE-X,,,,,,,
1125,EMUL-SNSLVBS-X,Solubilizer BOS,EMS1-BKBFB,Sunsolv BOS,Kg,Eksis,,"Nardevchem Kemindo, PT",20,190.5,Septi,,,EMUL-SNSLVBS-X,,,,,,,
1126,ACTI-IVLNC-X,Collageing,AAG3-BLBFD,IvyLanc 1000,Kg,Eksis,,"DKSH Indonesia, PT",8,10,Septi,,,ACTI-IVLNC-X,,,,,,,
1127,EMUL-PCCRMR-X,Oil-Gels Forming,EMS2-BLBFG,Picocare MR,Kg,Eksis,,"Kemiko Indonesia, PT",8,1,Septi,Pull,,EMUL-PCCRMR-X,,,,,,,
1128,EXTR-MRGOL-X,Moringa Extract,WBE1-BLBFH,Moringa Oleifera GE,Kg,Eksis,,"Global Chemindo Megatrading, PT",8,10,Amel,,,EXTR-MRGOL-X,,,,,,,
1129,EXTR-STRFE-X,Starfruit Extract,WBE1-BLBFI,Starfruit Extract,Kg,Eksis,,"Indokemika Jayatama, PT",4,25,Amel,,,EXTR-STRFE-X,,,,,,,
1130,EXTR-LVDGE-X,Lavender Extract,WBE1-BLBFJ,Lavender Glycolic Extract,Kg,Eksis,,"Haldin Pacific Semesta, PT",8,25,Ilham,,,EXTR-LVDGE-X,,,,,,,
1131,EXTR-CCNWE-X,Coconut Water Extract,WBE1-BLBGA,Coconut Water SD Powder,Kg,Eksis,,"Haldin Pacific Semesta, PT",8,25,Ilham,,,EXTR-CCNWE-X,,,,,,,
1132,HUM-PGUEP-X,PG USP/EP,MST1-BLBGB,Propylene Glycol USP/EP,Kg,Eksis,,"Mega setia Agung Kimia, PT
Pelita Abadi Sentosa, PT",12,215,,,,HUM-PGUEP-X,,,,,,,
1133,EXTR-RSWTRB-X,Bulrosa Water,WBE1-BLBGH,Rose Water 850058,Kg,Eksis,,"Indesso Aroma, PT",1,20,Ilham,,,EXTR-RSWTRB-X,,,,,,,
1134,ACTI-ECTNOL-X,Ectoin-Oil,APL1-BLBGI,ECTOinOIL,Kg,Eksis,,"DKSH Indonesia, PT",8,1,Septi,,,ACTI-ECTNOL-X,,,,,,,
1135,EXTR-VNLGE-X,Vanilla Extract,OBW1-BLBGC,Vanilla Glycolic Extract,Kg,Eksis,,"Haldin Pacific Semesta, PT",8,25,Ilham,,,EXTR-VNLGE-X,,,,,,,
1136,EXTR-BMBE-X,Bamboo Extract,WBE1-BLBGD,Bamboo Extract,Kg,Eksis,,"Indokemika Jayatama, PT",4,25,Amel,,,EXTR-BMBE-X,,,,,,,
1137,SILI-MRSLDA-X,Silicon 100/A2,SLC1-BLBGE,MIRASIL DM 100 A2,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,200,Ilham,,,SILI-MRSLDA-X,,,,,,,
1138,SUN-SSFMBC-X,Sun-MBZ,SCR3-BLBGF,Sunsafe MBC,Kg,Eksis,,"Ingredient Plus, PT",6,25,,,,SUN-SSFMBC-X,,,,,,,
1139,ABS-PLNBL-X,Silt-B,SBA3-BLBGG,Pelan Black,Kg,Eksis,,"DKSH Indonesia, PT",4,1,Septi,,,ABS-PLNBL-X,,,,,,,
1140,DISP-CTRLPLM-X,Dispersant agent,DSP1-BLBIJ,Cithrol PG23IS-LQ-(MV),Kg,Belum Eksis,,"Croda Trading Indonesia, PT",12,190,Ilham,,,,,,,,,,
1141,ACTI-GRPLMD-X,Brilliant Sparks,AAG3-BLBJA,Granpowder Lumiere DP,Kg,Eksis,,"IMCD Indonesia, PT",8,5,Ilham,,,,,,,,,,
1142,SILI-BLSDE-X,Silicone Flexi,SLC1-BLBJB,Belsil DM 5,Kg,Eksis,,"DKSH Indonesia, PT",16,180,Septi,,,,,,,,,,
1143,SILI-DC21-,Silicon DC 200/100,SLC1-BLBJE,Xiameter® PMX-200 Silicone Fluid 100 CS,Kg,Eksis,,"Mega Setia Agung Kimia, PT",12,200,Ilham,,,,,,,,,,
1144,WAX-KB2811P-X,Rice Beads Wax,WAX3-BLCAB,Kahlbeads 2811P,Kg,Eksis,,"Tritunggal Artha Makmur, PT",18,25,Ilham,,,,,,,,,,
1145,VIT-ATCAT-X,Vitamin E (2),ASB1-CAABD,All-rac-α-Tocopheryl Acetate,Kg,Eksis,,"DKSH Indonesia, PT",8,20,Septi,,,,,,,,,,
1146,THIC-KLCGCL-X,Thickegel,RHM3-CAABF,"Kelcogel CG-LA ex CP Kelco, USA",Kg,Eksis,,"Marga Dwi Kencana, PT",12,1,Amel,,,,,,,,,,
1147,SOLV-DEALCSB-X,Alcohol EA,SLV1-CAABI,Denatured Ethyl Alcohol – SDA BIT 6,Kg,Eksis,,"Sumber Kita Indah, PT",2,1000,Amel,,,,,,,,,,
1148,MOIS-HYDGLC-X,Moisturizer MSS,MST2-CAACB,Hydrasensyl Glucan Green,Kg,Eksis,,"BASF Distribution Indonesia, PT",8,5,Septi,Pull,,,,,,,,,
1149,HUM-DPGCR-X,Humektan DPG,MST1-CAACC,Dipropylene Glycol Care,Kg,Belum Eksis,,"BASF Distribution Indonesia, PT",16,215,Septi,Pull,,,,,,,,,
1150,SILI-DC23-,Silikon DC 200/350,SLC1-CBACF,Xiameter™ PMX-200 Silicone Fluid 350 cSt,Kg,Eksis,,"Mega Setia Agung Kimia, PT",12,200,Ilham,,,,,,,,,,
1151,EMO-SUNFR-X,Sunflower-Oil,EMO1-CBADA,Sunflower Oil,Kg,Eksis,,"DKSH Indonesia, PT",6,1,Septi,,,,,,,,,,
1152,EMO-GSDO-X,Grapeseed-Oil,EMO1-CBACH,Grapeseed Oil ex Triefta Aroma Nusantara,Kg,Eksis,,"DKSH Indonesia, PT",6,1,Septi,,,,,,,,,,
1153,EMO-RFTN-X,EMO GTCC,EMO1-CBADC,ROFETAN GTCC,Kg,Belum Eksis,,"Indokemika Jayatama, PT",16,180,Amel,,,,,,,,,,
1154,EMO-RFNJO-X,Jojoba Oil II,EMO1-CBADB,Refined Jojoba Oil,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,25,Ilham,,,,,,,,,,
1155,EMO-ARLPS15E-X,Emollient PSE,EMO1-CBADE,SP ARLAMOL PS15E MBAL-LQ-(SG),Kg,Eksis,,"Croda Trading Indonesia, PT",6,190,Ilham,,,,,,,,,,
1156,SCRU-BMBMV-X,Vitaburst beads,VES3-CAABC,BioGenic MagicBead-200MultiVitaBL0.8D,Kg,Eksis,,"Colorindo Chemtra, PT",8,20,Amel,Pull,,,,,,,,,
1157,ACTI-DFSLSF-X,Zen Soothing Active,SAI1-CCAEB,Defensil Soft,Kg,Eksis,,"Kemiko Indonesia, PT",10,1,Septi,Pull,,,,,,,,,
1158,ACTI-AGTV-X,Anti Aging AGV,AAG3-CCAEG,ALGAKTIV ® UpLift,Kg,Eksis,,"Lautan Luas, PT",8,1,Ilham,Pull,,,,,,,,,
1159,EMO-BRB2835-X,Emollient 2835,EMO1-CCAEE,BRB 2835,Kg,Eksis,,"Nardevchem Kemindo, PT",16,20,Septi,,,,,,,,,,
1160,ACTI-DNA-X,Anti Aging DN,AAG1-CCAEF,DNActive,Kg,Eksis,,"Jebsen Jessen Ingredients Indonesia, PT",6,5,Septi,,,,,,,,,,
1161,EXTR-PONG-X,Pongamol Extract,SFB3-CCAED,Pongamia Extract CQ/UA,Kg,Eksis,,"Connell Bersaudara Chemindo, PT",8,1,Amel,,,,,,,,,,
1162,NIKK-EP30-X,Powder Shampo EP30,PWD3-CCAEJ,"Nikkol Estepearl 30 ex Nikko Chemicals Co., Ltd, Japan",Kg,Eksis,,"IMCD Indonesia, PT",6,20,Ilham,,,,,,,,,,
1163,MOIS-LPBGCR-X,Moisturizer GLA,MST1-CCAFC,Lipobelle™ Glacier,Kg,Eksis,,"Colorindo Chemtra, PT",8,1,Amel,Pull,,,,,,,,,
1164,PEPE-850021-X,Mint Oil,ESO1-CCAFD,Peppermint Oil 850021,Kg,Eksis,,"Indesso Aroma, PT",4,20,Ilham,,,,,,,,,,
1165,LVDR-850007-X,Minyak Lavender,ESO1-CCAFE,Lavender Oil 850007,Kg,Eksis,,"Indesso Aroma, PT",4,20,Ilham,,,,,,,,,,
